bill_id,state,year,cluster_id,confidence,keywords,mga_topic
1817756,MD,2024,36,0.9351,"vehicle, speed, highway, monitoring, administration",vehicle
1798271,MD,2024,45,0.9584,"department, water, county, environment, house","aquaculture; chesapeake bay; coastal bays; pollution; natural resources; riparian rights; rivers, streams, and lakes; swimming pools; utilities; washington suburban sanitary district; wastewater; water pollution; waterway improvement fund; wells; administrative agencies"
1839254,MD,2024,33,0.9381,"vehicle, motor, tax, registration, motor vehicle",voting; applicants and applications; certifications; licenses; motor vehicle registration; permits
1798334,MD,2024,30,0.9312,"food, program, department, health, school","clams; crabs; dietitians and nutritionists; food insecurity; meat, poultry, and seafood; milk products; oysters; restaurants; vending machines; administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health"
1797868,MD,2024,12,0.9567,"energy, electric, commission, company, public",energy
1837925,MD,2024,36,0.9156,"vehicle, speed, highway, monitoring, administration",vehicle
1839192,MD,2024,7,0.9539,"property, county, tenant, landlord, department",property
1827925,MD,2024,25,0.9153,"electronic, person, law, information, public",electronic
1842126,MD,2024,38,0.9488,"emergency, county, public, safety, volunteer",accidents; building codes; emergencies; guns; homeland security; injury; motor vehicle inspection; occupational safety; personal protective equipment; restrictive housing; school resource officers; traffic monitoring; surveillance; traffic regulation; workplace retaliation
1826267,MD,2024,42,0.9467,"department, license, oyster, person, natural",department
1826288,MD,2024,41,0.9667,"county, law, public, commission, house",county
1827860,MD,2024,3,0.9376,"vehicle, person, motor, administration, driver",vehicle
1813596,MD,2024,34,0.9658,"court, county, judge, law, salary",court
1826322,MD,2024,21,0.9669,"health, care, program, services, department",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1832731,MD,2024,12,0.9359,"energy, electric, commission, company, public",energy
1837860,MD,2024,1,0.9639,"business, tax, corporation, credit, department",consumer protection; debt collection; debt management; finance companies; loans
1798158,MD,2024,25,0.9033,"electronic, person, law, information, public",electronic
1797757,MD,2024,2,0.9325,"procurement, tax, county, law, services",plans and proposals; contracts; minority business enterprises
1839203,MD,2024,22,0.9548,"license, alcoholic, beverages, alcoholic beverages, county","alcoholic beverages – by subdivision; alcoholic beverages distribution; alcoholic beverages licenses; alcoholic beverages manufacturing; breweries; beverage containers; distilleries; drunk and drugged driving; license commissioners, boards of; substance abuse; substance abuse treatment; wineries"
1831263,MD,2024,21,0.9732,"health, care, program, services, department",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1824962,MD,2024,7,0.9633,"property, county, tenant, landlord, department",property
1798226,MD,2024,30,0.9495,"food, program, department, health, school","clams; crabs; dietitians and nutritionists; food insecurity; meat, poultry, and seafood; milk products; oysters; restaurants; vending machines; administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health"
1838042,MD,2024,1,0.9669,"business, tax, corporation, credit, department",consumer protection; debt collection; debt management; finance companies; loans
1835670,MD,2024,2,0.9136,"procurement, tax, county, law, services",plans and proposals; contracts; minority business enterprises
1842258,MD,2024,19,0.9439,"fund, program, education, year, county","accreditation; higher education; medical schools; continuing education; curriculum; driver education; early childhood education; education, boards of; education, state board of; education, state department of; school testing; home schooling; individualized education and 504 plans; job training; literacy; maryland longitudinal data system; mentors; primary schools; teachers; private schools; public schools; remote and hybrid education; school resource officers; secondary schools; sexual matters; special education; state aid; students; textbooks"
1813607,MD,2024,22,0.9711,"license, alcoholic, beverages, alcoholic beverages, county","alcoholic beverages – by subdivision; alcoholic beverages distribution; alcoholic beverages licenses; alcoholic beverages manufacturing; breweries; beverage containers; distilleries; drunk and drugged driving; license commissioners, boards of; substance abuse; substance abuse treatment; wineries"
1797995,MD,2024,21,0.9527,"health, care, program, services, department",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1835735,MD,2024,37,0.9703,"transportation, county, transit, administration, authority",aircraft; airports; bicycles; boats and ships; bridges and tunnels; buses; commuters; for-hire driving; highways; mass transit; trucks; motor vehicle rentals; motor vehicles; railroads; ridesharing and carsharing; school buses; taxicabs
1839346,MD,2024,29,0.9704,"child, court, law, department, parent",child
1831326,MD,2024,12,0.97,"energy, electric, commission, company, public",energy
1842171,MD,2024,27,0.9766,"health, pharmacy, drug, prescription, board",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1837972,MD,2024,34,0.9642,"court, county, judge, law, salary",court
1797700,MD,2024,27,0.9643,"health, pharmacy, drug, prescription, board",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1834348,MD,2024,21,0.9453,"health, care, program, services, department",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1821849,MD,2024,10,0.9504,"health, care, medical, health care, board",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1846427,MD,2024,14,0.9112,"department, county, agriculture, fund, agricultural",agritourism; biotechnology; cannabis production; compost and composting; farmers and farming; farmland; fertilizers; hemp; invasive species; pest control; plants
1819965,MD,2024,29,0.96,"child, court, law, department, parent",child
1837837,MD,2024,25,0.9414,"electronic, person, law, information, public",electronic
1826375,MD,2024,22,0.97,"license, alcoholic, beverages, alcoholic beverages, county","alcoholic beverages – by subdivision; alcoholic beverages distribution; alcoholic beverages licenses; alcoholic beverages manufacturing; breweries; beverage containers; distilleries; drunk and drugged driving; license commissioners, boards of; substance abuse; substance abuse treatment; wineries"
1829080,MD,2024,40,0.9505,"board, dental, health, license, practice",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1827837,MD,2024,20,0.9587,"election, board, campaign, law, voter",election
1842223,MD,2024,0,0.9261,"employee, employer, employment, labor, work",employee
1817795,MD,2024,5,0.9612,"school, education, county, board, public","accreditation; higher education; medical schools; continuing education; curriculum; driver education; early childhood education; education, boards of; education, state board of; education, state department of; school testing; home schooling; individualized education and 504 plans; job training; literacy; maryland longitudinal data system; mentors; primary schools; teachers; private schools; public schools; remote and hybrid education; school resource officers; secondary schools; sexual matters; special education; state aid; students; textbooks"
1832822,MD,2024,21,0.9282,"health, care, program, services, department",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1798318,MD,2024,1,0.9537,"business, tax, corporation, credit, department",consumer protection; debt collection; debt management; finance companies; loans
1839297,MD,2024,10,0.9525,"health, care, medical, health care, board",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1839278,MD,2024,12,0.9004,"energy, electric, commission, company, public",energy
1838039,MD,2024,5,0.974,"school, education, county, board, public","accreditation; higher education; medical schools; continuing education; curriculum; driver education; early childhood education; education, boards of; education, state board of; education, state department of; school testing; home schooling; individualized education and 504 plans; job training; literacy; maryland longitudinal data system; mentors; primary schools; teachers; private schools; public schools; remote and hybrid education; school resource officers; secondary schools; sexual matters; special education; state aid; students; textbooks"
1821832,MD,2024,43,0.9257,"sports, racing, commission, fund, athletic",gaming and gambling; horses; sports and recreation
1798174,MD,2024,3,0.9413,"vehicle, person, motor, administration, driver",vehicle
1839151,MD,2024,5,0.9827,"school, education, county, board, public","accreditation; higher education; medical schools; continuing education; curriculum; driver education; early childhood education; education, boards of; education, state board of; education, state department of; school testing; home schooling; individualized education and 504 plans; job training; literacy; maryland longitudinal data system; mentors; primary schools; teachers; private schools; public schools; remote and hybrid education; school resource officers; secondary schools; sexual matters; special education; state aid; students; textbooks"
1840588,MD,2024,25,0.9521,"electronic, person, law, information, public",electronic
1827909,MD,2024,22,0.9772,"license, alcoholic, beverages, alcoholic beverages, county","alcoholic beverages – by subdivision; alcoholic beverages distribution; alcoholic beverages licenses; alcoholic beverages manufacturing; breweries; beverage containers; distilleries; drunk and drugged driving; license commissioners, boards of; substance abuse; substance abuse treatment; wineries"
1837909,MD,2024,21,0.9669,"health, care, program, services, department",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1840619,MD,2024,42,0.9358,"department, license, oyster, person, natural",department
1826420,MD,2024,36,0.9459,"vehicle, speed, highway, monitoring, administration",vehicle
1846372,MD,2024,34,0.9666,"court, county, judge, law, salary",court
1829106,MD,2024,42,0.9444,"department, license, oyster, person, natural",department
1840475,MD,2024,25,0.9577,"electronic, person, law, information, public",electronic
1826359,MD,2024,12,0.9648,"energy, electric, commission, company, public",energy
1829805,MD,2024,3,0.966,"vehicle, person, motor, administration, driver",vehicle
1798089,MD,2024,27,0.9651,"health, pharmacy, drug, prescription, board",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1812256,MD,2024,19,0.9643,"fund, program, education, year, county","accreditation; higher education; medical schools; continuing education; curriculum; driver education; early childhood education; education, boards of; education, state board of; education, state department of; school testing; home schooling; individualized education and 504 plans; job training; literacy; maryland longitudinal data system; mentors; primary schools; teachers; private schools; public schools; remote and hybrid education; school resource officers; secondary schools; sexual matters; special education; state aid; students; textbooks"
1834364,MD,2024,0,0.9632,"employee, employer, employment, labor, work",employee
1812313,MD,2024,7,0.9576,"property, county, tenant, landlord, department",property
1798066,MD,2024,20,0.9787,"election, board, campaign, law, voter",election
1817812,MD,2024,24,0.9433,"animal, dog, person, law, fund",animal
1829043,MD,2024,44,0.9595,"cannabis, tobacco, medical, marijuana, commission","cannabis administration, maryland; cannabis distribution; cannabis production; treatments.’; drugs; hemp; smoking and vaping"
1840530,MD,2024,14,0.9422,"department, county, agriculture, fund, agricultural",agritourism; biotechnology; cannabis production; compost and composting; farmers and farming; farmland; fertilizers; hemp; invasive species; pest control; plants
1842262,MD,2024,7,0.9484,"property, county, tenant, landlord, department",property
1798359,MD,2024,21,0.959,"health, care, program, services, department",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1839239,MD,2024,21,0.9644,"health, care, program, services, department",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1826436,MD,2024,0,0.9453,"employee, employer, employment, labor, work",employee
1798135,MD,2024,20,0.9705,"election, board, campaign, law, voter",election
1812240,MD,2024,10,0.9419,"health, care, medical, health care, board",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1829813,MD,2024,7,0.9491,"property, county, tenant, landlord, department",property
1797690,MD,2024,32,0.9574,"license, county, alcoholic, beverages, alcoholic beverages","alcoholic beverages – by subdivision; alcoholic beverages distribution; alcoholic beverages licenses; alcoholic beverages manufacturing; breweries; beverage containers; distilleries; drunk and drugged driving; license commissioners, boards of; substance abuse; substance abuse treatment; wineries"
1840463,MD,2024,7,0.9738,"property, county, tenant, landlord, department",property
1824688,MD,2024,4,0.9139,"county, hunting, deer, person, sunday",animals; guns; trapping
1845231,MD,2024,2,0.9294,"procurement, tax, county, law, services",plans and proposals; contracts; minority business enterprises
1829110,MD,2024,0,0.9377,"employee, employer, employment, labor, work",employee
1829055,MD,2024,28,0.9614,"retirement, income, member, service, pension",mandatory retirement
1817804,MD,2024,28,0.9596,"retirement, income, member, service, pension",mandatory retirement
1827948,MD,2024,26,0.9668,"tax, property, income, county, credit",consumer protection; debt collection; debt management; finance companies; loans
1824667,MD,2024,7,0.97,"property, county, tenant, landlord, department",property
1798070,MD,2024,5,0.9671,"school, education, county, board, public","accreditation; higher education; medical schools; continuing education; curriculum; driver education; early childhood education; education, boards of; education, state board of; education, state department of; school testing; home schooling; individualized education and 504 plans; job training; literacy; maryland longitudinal data system; mentors; primary schools; teachers; private schools; public schools; remote and hybrid education; school resource officers; secondary schools; sexual matters; special education; state aid; students; textbooks"
1837948,MD,2024,23,0.9547,"lottery, video, video lottery, county, gaming","awards, medals, and prizes; gaming and gambling; cameras; deepfakes; recordings; surveillance; television"
1812305,MD,2024,7,0.965,"property, county, tenant, landlord, department",property
1839281,MD,2024,29,0.9552,"child, court, law, department, parent",child
1832834,MD,2024,6,0.961,"law, police, enforcement, law enforcement, officer","arrests; bailiffs; citations; criminal charges; emergency services; interrogations; state police, department of; police conduct; police training and standards commission; school resource officers; search and seizure; service animals; sheriffs"
1817783,MD,2024,20,0.9657,"election, board, campaign, law, voter",election
1797852,MD,2024,10,0.9361,"health, care, medical, health care, board",administrative agencies; medical treatments; genetics; medical testing and diagnosis; medical research; complementary and alternative medicine; covid–19; dental health; health maintenance organizations; home care services; reproductive matters; health care facilities; health planning and cost review; health supplements; hospices; hospitals; immunization; managed care organizations; medical assistance; medical technology; mental and behavioral health; pandemics; rehabilitation; smoking and vaping; substance abuse; substance abuse treatment; uncompensated care; universal health care; vision health
1842235,MD,2024,5,0.9397,"school, education, county, board, public","accreditation; higher education; medical schools; continuing education; curriculum; driver education; early childhood education; education, boards of; education, state board of; education, state department of; school testing; home schooling; individualized education and 504 plans; job training; literacy; maryland longitudinal data system; mentors; primary schools; teachers; private schools; public schools; remote and hybrid education; school resource officers; secondary schools; sexual matters; special education; state aid; students; textbooks"
